"season_tag","name","position","team","total_points","matches_played","assists","bonus","bps","clean_sheets","creativity","goals_conceded","goals_scored","ict_index","influence","minutes","own_goals","penalties_missed","penalties_saved","red_cards","saves","threat","yellow_cards"
2,"Francisco Jorge Tomás Oliveira","MID","Wolves",19,7,0.428571428571429,0.285714285714286,8.57142857142857,0,8.94285714285714,0.714285714285714,0,3.42857142857143,12.3142857142857,11,0,0,0,0,0,13,0
2,"Francisco Machado Mota de Castro Trincão","MID","Wolves",66,28,0.0357142857142857,0.0714285714285714,7.03571428571429,0.25,8.825,0.535714285714286,0.0714285714285714,3.13214285714286,8.57142857142857,63.5,0,0,0,0,0,13.9285714285714,0
2,"Francisco Sierralta","DEF","Watford",5,5,0,0,11.4,0,0.1,1.8,0,2.3,19,90,0.2,0,0,0,0,3.8,0
2,"Frank Onyeka","MID","Brentford",35,20,0.1,0,5.85,0.15,3.675,0.95,0,1.685,4.65,61.5,0,0,0,0,0,8.7,0.2
2,"Fraser Forster","GK","Southampton",57,19,0,0.315789473684211,17.3684210526316,0.157894736842105,0,1.84210526315789,0,2.95789473684211,29.4631578947368,90,0,0,0,0,3.57894736842105,0,0.0526315789473684
2,"Freddie Woodman","GK","Newcastle",9,4,0,0,16,0,0,3,0,2.25,22.35,90,0,0,0.25,0,2.5,0,0
2,"Frederico Rodrigues de Paula Santos","MID","Man Utd",93,28,0.178571428571429,0.285714285714286,15.2142857142857,0.25,13.9357142857143,1.10714285714286,0.142857142857143,4.19642857142857,20.8357142857143,88.5,0.0357142857142857,0,0,0,0,7.17857142857143,0.178571428571429
2,"Gabriel Fernando de Jesus","FWD","Man City",119,27,0.296296296296296,0.592592592592593,17.6296296296296,0.407407407407407,18.2703703703704,0.481481481481481,0.296296296296296,7.62222222222222,20.5925925925926,86,0,0,0,0,0,37.4074074074074,0
2,"Gabriel Magalhães","DEF","Arsenal",144,34,0,0.470588235294118,19.7647058823529,0.382352941176471,3.79411764705882,1.08823529411765,0.147058823529412,3.75,20.4117647058824,90,0,0,0,0.0294117647058824,0,13.3235294117647,0.176470588235294
2,"Gabriel Teodoro Martinelli Silva","MID","Arsenal",109,28,0.25,0.214285714285714,12.2857142857143,0.25,15.625,0.821428571428571,0.214285714285714,5.46428571428571,14.4785714285714,75,0,0,0,0.0357142857142857,0,24.5,0.0357142857142857
2,"Giovani Lo Celso","MID","Spurs",11,9,0,0,4.55555555555556,0,8.62222222222222,0.555555555555556,0,1.86666666666667,3.71111111111111,16,0,0,0,0,0,6.55555555555556,0
2,"Granit Xhaka","MID","Arsenal",59,26,0.0769230769230769,0.115384615384615,12.5384615384615,0.230769230769231,18.3615384615385,1.38461538461538,0.0384615384615385,4.22692307692308,14.3769230769231,90,0,0,0,0.0384615384615385,0,9.5,0.346153846153846
2,"Grant Hanley","DEF","Norwich",69,32,0,0.125,15.75,0.1875,2.29375,2.15625,0.03125,3.1875,23.0125,90,0,0,0,0,0,6.53125,0.0625
2,"Hakim Ziyech","MID","Chelsea",77,22,0.136363636363636,0.409090909090909,12.0454545454545,0.318181818181818,18.2681818181818,0.5,0.181818181818182,5.23636363636364,15.0363636363636,63.5,0,0,0,0,0,19.1363636363636,0.136363636363636
2,"Hamza Choudhury","MID","Leicester",8,6,0,0,6.83333333333333,0.166666666666667,0.466666666666667,0.666666666666667,0,0.883333333333333,7.16666666666667,57,0,0,0,0,0,1,0.166666666666667
2,"Hannibal Mejbri","MID","Man Utd",1,2,0,0,-1,0,0.3,1,0,0,0,33.5,0,0,0,0,0,0,1
2,"Harrison Ashby","DEF","West Ham",1,1,0,0,4,0,1,1,0,0.3,2,6,0,0,0,0,0,0,0
2,"Harry Kane","FWD","Spurs",185,36,0.305555555555556,0.611111111111111,18.25,0.361111111111111,17.475,1.11111111111111,0.444444444444444,8.78055555555556,25.7555555555556,90,0,0,0,0,0,44.6944444444444,0.138888888888889
2,"Harry Maguire","DEF","Man Utd",69,30,0,0.133333333333333,15.0333333333333,0.233333333333333,2.53,1.43333333333333,0.0333333333333333,3.17,18.6933333333333,90,0.0333333333333333,0,0,0.0333333333333333,0,10.4666666666667,0.233333333333333
2,"Harry Winks","MID","Spurs",33,19,0.105263157894737,0.0526315789473684,9.21052631578947,0.0526315789473684,10.4421052631579,0.789473684210526,0,2.03684210526316,8.83157894736842,45,0,0,0,0,0,1.05263157894737,0.105263157894737
2,"Harvey Barnes","MID","Leicester",120,30,0.366666666666667,0.3,10.7,0.266666666666667,12.6733333333333,0.966666666666667,0.133333333333333,5.81,14.42,71.5,0,0,0,0,0,31.1,0.0666666666666667
2,"Harvey Elliott","MID","Liverpool",10,5,0,0,7.8,0.4,18.84,0.2,0,4.16,6.12,62,0,0,0,0,0,16.6,0
2,"Hassane Kamara","DEF","Watford",38,18,0,0.166666666666667,16.3333333333333,0.166666666666667,8.41111111111111,1.88888888888889,0.0555555555555556,2.99444444444444,19.1777777777778,90,0,0,0,0.0555555555555556,0,2.5,0.166666666666667
2,"Héctor Junior Firpo Adames","DEF","Leeds",21,23,0.0869565217391304,0.173913043478261,9.04347826086956,0.0434782608695652,11.5521739130435,2.08695652173913,0,2.98260869565217,12.8260869565217,78,0.0434782608695652,0,0,0,0,5.47826086956522,0.434782608695652
2,"Hee-Chan Hwang","FWD","Wolves",79,29,0.0344827586206897,0.379310344827586,9.79310344827586,0.241379310344828,8.77931034482759,0.724137931034483,0.172413793103448,3.40689655172414,10.9448275862069,77,0,0,0,0,0,14.5172413793103,0.0689655172413793
2,"Hélder Wander Sousa de Azevedo e Costa","MID","Leeds",1,1,0,0,1,0,0.4,0,0,0,0,21,0,0,0,0,0,1,0
2,"Heung-Min Son","MID","Spurs",255,34,0.294117647058824,0.794117647058823,23.8529411764706,0.5,29.0823529411765,0.882352941176471,0.676470588235294,9.63823529411765,32.6647058823529,90,0,0,0,0,0,34.5,0.0588235294117647
2,"Hugo Lloris","GK","Spurs",153,37,0,0.297297297297297,18.4864864864865,0.405405405405405,0.621621621621622,1.08108108108108,0,2.04324324324324,19.827027027027,90,0,0,0,0,2.59459459459459,0,0.027027027027027
2,"Ibrahima Diallo","MID","Southampton",42,22,0.136363636363636,0.136363636363636,8.31818181818182,0.0454545454545455,9.50454545454545,0.863636363636364,0,2.09090909090909,7.84545454545455,41,0,0,0,0,0,3.59090909090909,0.0454545454545455
2,"Ibrahima Konaté","DEF","Liverpool",31,10,0,0,19,0.4,1.84,0.9,0,2.06,17.22,90,0,0,0,0,0,1.6,0.2
2,"Ilkay Gündogan","MID","Man City",124,27,0.185185185185185,0.37037037037037,18.0740740740741,0.518518518518518,22.6666666666667,0.37037037037037,0.296296296296296,6.76296296296296,17.9259259259259,90,0,0,0,0,0,26.962962962963,0.037037037037037
2,"Illan Meslier","GK","Leeds",103,37,0,0.216216216216216,18.7567567567568,0.135135135135135,0,2.10810810810811,0,2.76486486486486,27.7027027027027,90,0,0,0,0,3.72972972972973,0,0.0540540540540541
2,"Imrân Louza","MID","Watford",31,20,0,0,8.65,0.15,11.41,1.9,0,2.92,11.63,76.5,0,0,0,0,0,6.1,0.3
2,"Isaac Hayden","MID","Newcastle",28,14,0,0.214285714285714,8.85714285714286,0,2.4,1.78571428571429,0.0714285714285714,2.02142857142857,13.4,90,0,0,0,0,0,4.71428571428571,0.357142857142857
2,"Isaac Price","MID","Everton",1,1,0,0,-2,0,0,1,0,0,0,13,0,0,0,0,0,0,0
2,"Ismaila Sarr","MID","Watford",81,22,0.0909090909090909,0.409090909090909,9.86363636363636,0.0909090909090909,13.55,1.81818181818182,0.227272727272727,5.36363636363636,15.5636363636364,90,0,0.0454545454545455,0,0,0,24.5454545454545,0.0909090909090909
2,"Issa Diop","DEF","West Ham",30,13,0.0769230769230769,0.153846153846154,15.6153846153846,0.153846153846154,1.63846153846154,1.46153846153846,0,2.23846153846154,17.3538461538462,90,0,0,0,0,0,3.38461538461538,0
2,"Ivan Toney","FWD","Brentford",137,32,0.15625,0.59375,15.59375,0.25,17.45625,1.40625,0.375,7.878125,22.3125,90,0,0,0,0,0,39,0.25
2,"Jack Butland","GK","Crystal Palace",25,7,0,0.428571428571429,14.8571428571429,0.142857142857143,0,1.28571428571429,0,1.71428571428571,16.9428571428571,90,0,0,0.142857142857143,0,1.57142857142857,0,0
2,"Jack Cork","MID","Burnley",44,18,0,0.166666666666667,7.27777777777778,0.333333333333333,5.61111111111111,1.33333333333333,0.0555555555555556,1.72777777777778,8.72222222222222,90,0,0,0,0,0,3,0.222222222222222
2,"Jack Grealish","MID","Man City",77,25,0.12,0,12.88,0.6,27.4,0.24,0.08,7.42,13.904,90,0,0,0,0,0,32.88,0.12
2,"Jack Harrison","MID","Leeds",115,34,0.0294117647058824,0.352941176470588,11.9117647058824,0.0882352941176471,16.5294117647059,1.97058823529412,0.235294117647059,5.03529411764706,16.5529411764706,90,0,0,0,0,0,17.5,0.0882352941176471
2,"Jack Stephens","DEF","Southampton",12,10,0,0,12.1,0.1,4.69,1.7,0,2.03,14.9,90,0,0,0,0,0,0.6,0.2
2,"Jacob Murphy","MID","Newcastle",61,32,0.125,0,6.59375,0.0625,8.75,1.09375,0.03125,2.46875,8.0125,29.5,0,0,0,0,0,8,0.125
2,"Jacob Ramsey","MID","Aston Villa",106,32,0.03125,0.28125,11.90625,0.375,9.93125,1.03125,0.1875,3.928125,16.16875,86.5,0,0,0,0,0,13.0625,0.1875
2,"Jacob Sørensen","DEF","Norwich",8,9,0,0,8.88888888888889,0,1.34444444444444,2,0,2.15555555555556,10.5333333333333,90,0,0,0,0,0,9.55555555555556,0
2,"Jaden Philogene-Bidace","MID","Aston Villa",1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
2,"Jadon Sancho","MID","Man Utd",91,29,0.137931034482759,0.310344827586207,12.4827586206897,0.206896551724138,20.5758620689655,0.96551724137931,0.103448275862069,5.20344827586207,12.5241379310345,71,0,0,0,0,0,18.9310344827586,0
2,"Jairo Riedewald","MID","Crystal Palace",4,3,0,0,5.33333333333333,0,9.16666666666667,1.66666666666667,0,1.33333333333333,3.73333333333333,25,0,0,0,0,0,0.666666666666667,0
2,"Jakub Moder","MID","Brighton",58,28,0.107142857142857,0,8.10714285714286,0.178571428571429,10.2142857142857,0.821428571428571,0,3.225,8.55714285714286,74.5,0,0,0,0,0,13.2857142857143,0.0357142857142857
2,"Jamaal Lascelles","DEF","Newcastle",46,25,0.04,0.08,11.24,0.12,1.856,1.76,0.04,2.828,15.824,90,0.08,0,0,0,0,10.72,0.2
2,"Jamal Lewis","DEF","Newcastle",10,5,0,0,7.8,0.2,2.76,0.8,0,1.12,7.88,61,0,0,0,0,0,0.4,0.2
2,"James Justin","DEF","Leicester",27,12,0,0.0833333333333333,12.6666666666667,0.166666666666667,10.525,1,0,3.20833333333333,13.3333333333333,90,0,0,0,0,0,8.08333333333333,0
2,"James Maddison","MID","Leicester",156,33,0.272727272727273,0.575757575757576,16.6060606060606,0.151515151515152,18.1393939393939,1.18181818181818,0.303030303030303,5.95151515151515,19.3515151515152,81,0,0,0,0,0,22.0606060606061,0.0909090909090909
2,"James McArthur","MID","Crystal Palace",54,21,0.19047619047619,0.238095238095238,13.7142857142857,0.238095238095238,12.2142857142857,0.714285714285714,0,3.33333333333333,15.4285714285714,90,0,0,0,0,0,5.71428571428571,0.19047619047619
2,"James McAtee","MID","Man City",2,2,0,0,1.5,0,0.1,0,0,0,0,9,0,0,0,0,0,0,0
2,"James Milner","MID","Liverpool",36,23,0.0434782608695652,0.0434782608695652,7.60869565217391,0.173913043478261,11.0652173913043,0.217391304347826,0,2.24347826086957,8.55652173913044,15,0,0,0,0,0,2.78260869565217,0.0869565217391304
2,"James Tarkowski","DEF","Burnley",81,34,0.0588235294117647,0.147058823529412,13.9411764705882,0.205882352941176,2.53823529411765,1.47058823529412,0.0294117647058824,3.69705882352941,25.4117647058824,90,0.0294117647058824,0,0,0,0,8.97058823529412,0.323529411764706
2,"James Tomkins","DEF","Crystal Palace",17,8,0,0.25,12.125,0,2.75,1.375,0.125,3.1375,17.55,90,0,0,0,0,0,11,0.25
2,"James Ward-Prowse","MID","Southampton",157,35,0.142857142857143,0.6,21.5714285714286,0.2,33.0885714285714,1.8,0.285714285714286,7.04,26.2342857142857,90,0,0,0,0.0285714285714286,0,11.0285714285714,0.0857142857142857
2,"Jamie Shackleton","MID","Leeds",18,13,0.0769230769230769,0,6.84615384615385,0.0769230769230769,2.17692307692308,1.07692307692308,0,1.66923076923077,9.63076923076923,45,0,0,0,0,0,4.76923076923077,0.307692307692308
2,"Jamie Vardy","FWD","Leicester",118,23,0.130434782608696,0.91304347826087,17.7826086956522,0.173913043478261,9.3304347826087,1.08695652173913,0.565217391304348,5.98260869565217,21.1739130434783,90,0.0434782608695652,0,0,0,0,29.6521739130435,0.0869565217391304
2,"Jan Bednarek","DEF","Southampton",94,31,0,0.483870967741935,16.0967741935484,0.225806451612903,2.84193548387097,1.67741935483871,0.129032258064516,3.58709677419355,22.5677419354839,90,0.032258064516129,0,0,0,0,10.3548387096774,0.32258064516129
2,"Jannik Vestergaard","DEF","Leicester",11,10,0,0,11.5,0.1,1.52,1.6,0,1.9,15.92,75,0,0,0,0,0,1.5,0.2
2,"Japhet Tanganga","DEF","Spurs",29,11,0,0,12.0909090909091,0.454545454545455,4.37272727272727,1,0,2.5,10.7272727272727,67,0,0,0,0.0909090909090909,0,9.81818181818182,0.181818181818182
2,"Jarrad Branthwaite","DEF","Everton",10,5,0,0.2,11.2,0,0.44,2.8,0.2,2.34,13.96,90,0,0,0,0,0,8.8,0
2,"Jarrod Bowen","MID","West Ham",192,35,0.485714285714286,0.6,15.6285714285714,0.228571428571429,17.5942857142857,1.25714285714286,0.285714285714286,7.17142857142857,21.5142857142857,90,0,0,0,0,0,32.5428571428571,0.142857142857143
2,"Jason Steele","GK","Brighton",2,1,0,0,17,0,0,2,0,2.9,28.8,90,0,0,0,0,3,0,0
